TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
237924601.00 ,1.0021903,56.77,5071,0.87,,4.48308,190.596,11.7497
322063810.00 ,3.510493805,2.35,4020,0.639370978,0.63,4.438,30.8431,9.3626
49687222.00 ,20.186539,10.84,6101,1.01859,,4.48196,133.3143,9.8343
204317710.00 ,2.812648471,99.04,5700,1.009570003,1.01,4.39704,745.116,13.7426
92226327.00 ,24.73734116,4.06,3131,0.215535,0.184589,5.05701,14.9861,11.2991
92226327.00 ,3.777941752,3.08,3131,0.215535,0.184589,5.05701,14.9861,11.2991
200723869.00 ,18.38770809,33.51,6382.7,1.765570045,1.28,4.05,76.9028,7.0286
350445771.00 ,3.1901603,96.56,6474.57,1.99,1.32,4.26363,530.555,11.0932
12862099.00 ,2.423822584,108.09,5410,0.93,0.96,4.47919,364.512,12.3993
37749396.00 ,13.4758499,3.47,4111,0.618173003,0.63,4.6461,20.1852,8.4991
63898957.00 ,3.363925397,9.53,5890.3,1.280179977,1.069,3.92,114.495,9.03971
63898957.00 ,13.03935862,10.31,5890.3,1.31383,1.069,3.92,114.495,9.03971
70513361.00 ,11.14527844,4.93,5302.58,0.848675013,0.91,4.53515,43.932,8.1345
120916706.00 ,0.55680953,68.18,3116,0.439738005,0.435505,5.06043,277.404,15.6198
122612091.00 ,2.21674,317,6250,2.66,1.03,3.98811,434.754,10.4614
159951311.00 ,5.924266132,64.13,5310,0.846670985,0.87,4.59604,212.472,11.7276
164767175.00 ,10.75101066,6.17,5784,0.918917,1.037,4.438,101.694,9.45661
164767175.00 ,6.19132,3.68,5784,0.929557,1.037,4.438,101.694,9.45661
166836920.00 ,5.752582171,108.11,6180,1.70927,1.14,4.11766,158.66,8.93
219253008.00 ,5.066175007,45.89,5868,2.17,,3.57327,320.497,10.0733
220479565.00 ,3.697723752,8.86,3607,0.397924006,0.389135,4.438,57.0225,12.2958
